,Race_Type,Horse_Name,Trainer_name,Jockey_name,Weight,Draw,Win_odds,predicted finishing time,Place
82,CHAI WAN HANDICAP,LAND POWER,A T Millard,J Moreira,123.0,123.0,8.199999809265137,100.51554542071298,6
83,CHAI WAN HANDICAP,WINNING STEED,K H Ting,K C Leung,122.0,122.0,20.0,100.61135255684364,7
84,CHAI WAN HANDICAP,BULLETPROOF,P F Yiu,V Borges,124.0,124.0,16.0,100.61474461603311,8
85,CHAI WAN HANDICAP,NUNCHUKS,C Fownes,C Y Ho,120.0,120.0,9.399999618530273,100.61732720959296,9
86,CHAI WAN HANDICAP,BRAVE POWER,A S Cruz,M Chadwick,113.0,113.0,17.0,100.63060419818717,10
87,CHAI WAN HANDICAP,HAPPY WIN WIN,C H Yip,A Hamelin,120.0,120.0,12.0,100.67547657840751,11
88,CHAI WAN HANDICAP,RUBY STARS,K L Man,N Callan,133.0,133.0,198.0,100.75923693287164,12
89,CHAI WAN HANDICAP,MCMUNIGAL,D E Ferraris,H N Wong,115.0,115.0,106.0,100.78963477827122,13
90,CHAI WAN HANDICAP,AMAZING LUCK,P O'Sullivan,M F Poon,118.0,118.0,80.0,101.06473595447528,14
91,ROBIN HANDICAP,GOLD COMET,A T Millard,C Schofield,123.0,123.0,5.900000095367432,69.38434395335082,1
92,ROBIN HANDICAP,SUNNY DELIGHT,C S Shum,Z Purton,125.0,125.0,10.0,69.495456618418,2
93,ROBIN HANDICAP,EVERYONE'S VICTORY,F C Lor,J Moreira,123.0,123.0,20.0,69.68211170796054,3
94,ROBIN HANDICAP,SUPER ALLIANCES,J Size,M Chadwick,133.0,133.0,3.700000047683716,70.21786354191302,4
95,ROBIN HANDICAP,MAGIC SUPREME,K L Man,A Badel,125.0,125.0,4.699999809265137,70.29748354131455,5
96,ROBIN HANDICAP,SPLIT OF A SECOND,W Y So,C Wong,111.0,111.0,63.0,70.35923378377177,6
97,ROBIN HANDICAP,VIVA CHEF,L Ho,M F Poon,118.0,118.0,6.199999809265137,70.46365905133933,7
98,ROBIN HANDICAP,JUST NOT LISTENING,T P Yung,N Callan,132.0,132.0,32.0,70.69116352130959,8
99,ROBIN HANDICAP,FORTUNE HAPPINESS,K W Lui,C Y Ho,124.0,124.0,10.0,70.75526895613974,9
100,ROBIN HANDICAP,MIGHTY POWER,D A Hayes,C L Chau,117.0,117.0,9.199999809265137,70.96166093340406,10
101,ROBIN HANDICAP,HERO TIME,R Gibson,T Piccone,125.0,125.0,114.0,71.11075872216517,11
102,SIU SAI WAN HANDICAP,AUTHENTIC CHAMP,K H Ting,C Y Ho,117.0,117.0,5.099999904632568,98.51145234681398,1
103,SIU SAI WAN HANDICAP,TELECOM FIGHTERS,Y S Tsui,K Teetan,114.0,114.0,5.900000095367432,98.77221871876398,2
104,SIU SAI WAN HANDICAP,BEAUTY DAY,T P Yung,M F Poon,118.0,118.0,8.5,99.19153836410409,3
105,SIU SAI WAN HANDICAP,PIANO SOLO,C S Shum,C Soumillon,121.0,121.0,6.900000095367432,99.6108932255291,4
106,SIU SAI WAN HANDICAP,LOOKING GREAT,F C Lor,Z Purton,121.0,121.0,4.400000095367432,99.73059953096188,5
107,SIU SAI WAN HANDICAP,TOYCOON,P F Yiu,K C Leung,117.0,117.0,37.0,99.75199024195962,6
108,SIU SAI WAN HANDICAP,LEADING FORTUNE,J Size,A Badel,114.0,114.0,10.0,99.79673811606557,7
